"Paragraph","CaptionContext","RelationshipId","Target"
"1","学号：2023120619密级：公开","rId8","media/image1.png"
"20","","rId15","media/image2.emf"
"24","","rId16","media/image3.emf"
"298","","rId26","media/image4.png"
"298","","rId27","media/image5.png"
"352","","rId28","media/image6.png"
"366","","rId30","media/image7.png"
"367","","rId31","media/image8.png"
"375","","rId32","media/image9.png"
"379","不含构件i的系统，其构件总数量为n-1个此时，构件i的RAW指标为：","rId33","media/image10.wmf"
"380","","rId35","media/image11.wmf"
"380","","rId37","media/image12.wmf"
"381","式中：RAWi代表构件i的RAW指标，指标的大小反映了该构件的重要性程度，指标越大，说明该构件的重要性程度越高；为系统的失效概率,而系统不含有构件i；为系统S的失效概率。","rId39","media/image13.wmf"
"381","式中：RAWi代表构件i的RAW指标，指标的大小反映了该构件的重要性程度，指标越大，说明该构件的重要性程度越高；为系统的失效概率,而系统不含有构件i；为系统S的失效概率。","rId33","media/image10.wmf"
"381","式中：RAWi代表构件i的RAW指标，指标的大小反映了该构件的重要性程度，指标越大，说明该构件的重要性程度越高；为系统的失效概率,而系统不含有构件i；为系统S的失效概率。","rId33","media/image10.wmf"
"381","式中：RAWi代表构件i的RAW指标，指标的大小反映了该构件的重要性程度，指标越大，说明该构件的重要性程度越高；为系统的失效概率,而系统不含有构件i；为系统S的失效概率。","rId43","media/image14.wmf"
"388","","rId45","media/image15.png"
"388","","rId46","media/image16.png"
"395","","rId47","media/image17.wmf"
"396","式中：为构件i为脆性状态的概率；为系统S中存在一个为脆性状态的潜在脆性破坏构件时的失效概率。为构件i为塑性状态的概率；为系统S中所有构件均为塑性状态时的失效概率。","rId49","media/image18.wmf"
"396","式中：为构件i为脆性状态的概率；为系统S中存在一个为脆性状态的潜在脆性破坏构件时的失效概率。为构件i为塑性状态的概率；为系统S中所有构件均为塑性状态时的失效概率。","rId51","media/image19.wmf"
"396","式中：为构件i为脆性状态的概率；为系统S中存在一个为脆性状态的潜在脆性破坏构件时的失效概率。为构件i为塑性状态的概率；为系统S中所有构件均为塑性状态时的失效概率。","rId53","media/image20.wmf"
