"参数组"	"参数符号"	"原表行"	"参数值"	"RAW下界"	"RAW上界"	"RAW平均值"	"数据状态"
"相关系数"	"ρ"	"3"	"0.1"	"0.851648351648352"	"0.851648351648352"	"0.851648351648352"	"完整"
"相关系数"	"ρ"	"4"	"0.3"	"0.863723608445297"	"0.863723608445297"	"0.863723608445297"	"完整"
"相关系数"	"ρ"	"5"	"0.5"	"0.888888888888889"	"0.873684210526316"	"0.881286549707602"	"完整"
"相关系数"	"ρ"	"6"	"0.7"	"0.930599369085173"	"0.875634517766497"	"0.903116943425835"	"完整"
"相关系数"	"ρ"	"7"	"0.9"	"0.970588235294118"	"0.894941634241245"	"0.932764934767681"	"完整"
"构件总数"	"n"	"8"	"8"	"0.851648351648352"	"0.851648351648352"	"0.851648351648352"	"完整"
"构件总数"	"n"	"9"	"12"	"0.905707196029777"	"0.905707196029777"	"0.905707196029777"	"完整"
"构件总数"	"n"	"10"	"16"	"0.927495291902071"	"0.932203389830508"	"0.92984934086629"	"完整"
"构件总数"	"n"	"11"	"20"	"0.94224924012158"	"0.94224924012158"	"0.94224924012158"	"完整"
"构件总数"	"n"	"12"	"24"	"0.9514687100894"	"0.954661558109834"	"0.953065134099617"	"完整"
"构件总数"	"n"	"13"	"28"	"0.960154952960708"	"0.958149779735683"	"0.959152366348195"	"完整"
"构件总数"	"n"	"14"	"32"	"0.965382740126768"	"0.963592233009709"	"0.964487486568238"	"完整"
"构件总数"	"n"	"15"	"36"	"0.968941382327209"	"0.969143850499783"	"0.969042616413496"	"完整"
"构件总数"	"n"	"16"	"40"	"0.971836572788576"	"0.97397476340694"	"0.972905668097758"	"完整"
"构件总数"	"n"	"17"	"44"	"0.974545454545454"	"0.974774774774775"	"0.974660114660115"	"完整"
"构件总数"	"n"	"18"	"48"	"0.978151260504202"	"0.978043912175649"	"0.978097586339925"	"完整"
"可靠指标"	"β"	"19"	"3"	"0.886262924667651"	"0.886262924667651"	"0.886262924667651"	"完整"
"可靠指标"	"β"	"20"	"3.1"	""	""	""	"缺少RAW"
"可靠指标"	"β"	"21"	"3.2"	""	""	""	"缺少RAW"
"可靠指标"	"β"	"22"	"3.3"	""	""	""	"缺少RAW"
"可靠指标"	"β"	"23"	"3.4"	""	""	""	"缺少RAW"
"可靠指标"	"β"	"24"	"3.5"	""	""	""	"缺少RAW"
"可靠指标"	"β"	"25"	"3.6"	""	""	""	"缺少RAW"
"潜在脆性构件数量"	"n1"	"26"	"1"	"0.851648351648352"	"0.851648351648352"	"0.851648351648352"	"完整"
"潜在脆性构件数量"	"n1"	"27"	"2"	"0.856066044508256"	"0.856066044508256"	"0.856066044508256"	"完整"
"潜在脆性构件数量"	"n1"	"28"	"3"	"0.860067539046011"	"0.860067539046011"	"0.860067539046011"	"完整"
